GeoFIPS,GeoName,Region,Table,LineCode,IndustryClassification,Description,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
5000,Arkansas,5,CA30,280,...,    Nonfarm proprietors employment,215895,222161,225251,229608,235343,245917,262014,268655,279919,276777,279022,279090,296351,294936,297204,303679,305871,312493
5000,Arkansas,5,CA30,290,...,Average earnings per job (dollars),29276,30292,31625,32300,34426,36030,36546,37237,38271,38755,38724,39625,40575,42713,44223,44951,44791,45217
5000,Arkansas,5,CA30,300,...,  Average wages and salaries,25242,26288,27295,28152,29204,30592,31665,32853,34497,35216,35915,36691,37817,38937,39629,40575,41500,42157
5000,Arkansas,5,CA30,310,...,  Average nonfarm proprietors' income,20146,20734,21482,22577,23093,23302,23432,22807,19667,18689,16960,18521,19569,21815,21592,21927,21058,21318
6000,California,8,CA30,10,...,Personal income (thousands of dollars),1020864222,1124844038,1160964629,1182174837,1242098548,1335871248,1415940822,1524919622,1583851546,1616530437,1560649328,1617134250,1727433579,1838567162,1861956514,1986025976,2133664158,2212691221
6000,California,8,CA30,45,...,  Net earnings by place of residence,710864499,792200937,810821861,826007982,866271578,935820592,980556888,1041025934,1069389354,1067773509,1026416398,1058683508,1128484392,1196421759,1211883572,1275713851,1359052864,1418640763
6000,California,8,CA30,50,...,  Personal current transfer receipts,117385478,122177543,135575639,145704785,153929412,161337196,169601786,182283309,192794171,218212631,241125245,266867975,268746978,271577706,282317496,300479286,323855800,334663544
6000,California,8,CA30,60,...,    Income maintenance benefits 1/,19226210,19428921,19350298,20624912,21906970,23167849,24626741,25469260,26377945,27545431,30759006,32875138,34067839,34414570,35137532,35865665,35949211,35246956
6000,California,8,CA30,70,...,    Unemployment insurance compensation,2729089,2507562,3467115,7194879,7289909,5215867,4525194,4358708,5036145,7983714,19154247,22179639,17563581,13924110,10700629,6079284,5268636,5247001
6000,California,8,CA30,80,...,    Retirement and other,95430179,100241060,112758226,117884994,124732533,132953480,140449851,152455341,161380081,182683486,191211992,211813198,217115558,223239026,236479335,258534337,282637953,294169587
